program,university,country,publicPrivate,track,language,tuitionIntl,scholarshipName,fundingLevel,stipendCoverage,tunisianEligible,portfolioReq,entryRequirements,applicationOpens,deadline,sourceUrl,fitNotes,verified,verificationNotes
MA programmes of the Sound Design and Music Directing Department (Zvukova tvorba / Hudebni rezie),"HAMU — Music and Dance Faculty, Academy of Performing Arts in Prague",Czechia,Public (arts academy),Sound/Music-Tech,"Czech (HAMU's official English-taught MA list covers instruments/composition/jazz etc., not sound design — English-taught sound study: Check with international office; English study is fee-based per Dean's Decree 13/2025)",Free if studied in Czech (Check); English-taught fees per Dean's Decree no. 13/2025 — UNVERIFIED amount,None found for Tunisians (Czech Gov Scholarship excludes Tunisia 2026/27),None / UNVERIFIED,UNVERIFIED,Y for admission (fee/language rules apply),Y — arts-academy entrance examination (Check exact requirements); language certificate required (for English-taught programmes IELTS 5.5+/TOEFL 87+ per admissions info),Bachelor; certified language level per CEFR; CV; recognized diploma translation; entrance exam,UNVERIFIED,PRIOR CYCLE - confirm new date,https://www.hamu.cz/en/departments-sections/sound-design-department/,Classical music-recording direction tradition (Tonmeister-style); strong studio craft but Czech-centric and audition-heavy.,Unverified,verification agent returned nothing
"Ing. Audio Engineering (follow-up master's, joint teaching with JAMU Music Faculty)",Brno University of Technology (FEEC/FEKT) with Janacek Academy of Performing Arts (JAMU),Czechia,Public (technical university + arts academy consortium),Acoustics/Audio-Eng,Czech (page also references studies in English — Check whether the master runs in English and at what fee),Free in Czech-taught form (Czech public HEI — Check); English-taught form fee UNVERIFIED,South Moravian Centre (JCMM) scholarship for non-EU students in Brno (covers first year of follow-up master's — per studyin.cz); Czech Gov Scholarship not open to Tunisia 2026/27,Partial (JCMM first-year support — Check current call),UNVERIFIED,Y for admission; JCMM open to non-EU students in Brno (Check conditions),Check — technical entrance exam expected; artistic components via JAMU tracks,"Bachelor in audio/electrical/related; entrance exam; covers acoustics, electroacoustics, DSP, spatial audio, studio practice, VR/multimedia tech",UNVERIFIED,PRIOR CYCLE - confirm new date,https://www.utko.fekt.vut.cz/en/masters-study-programme-audio-engineering,Best CS-to-audio bridge in Czechia: DSP/audio-software engineering plus JAMU studio/artistic courses; Brno has extra regional funding (JCMM).,Unverified,verification agent returned nothing
MA Sound Design and Multimedial Technology (Faculty of Arts),"Masaryk University, Brno",Czechia,Public,Sound-Design/Production,Czech (verified on official page),Free in Czech-taught programmes (Check); no English variant found,South Moravian Centre (JCMM) scholarship for non-EU students in Brno (Check current call),Partial (JCMM) / otherwise None,UNVERIFIED,Y for admission (Czech required),Y (light) — oral exam + max 2-page creative project proposal; min 50/100 points,"Bachelor (related fields get partial waivers); Czech proficiency; 2 years full-time or combined; 6-week placement (Brno Philharmonic, National Theatre Brno)",UNVERIFIED,PRIOR CYCLE - confirm new date,https://www.muni.cz/en/bachelors-and-masters-study-programmes/24647-sound-design-and-multimedial-technology,"Practical sound-creation + production + programming mix that suits a software engineer, but Czech-only instruction is the main barrier.",Unverified,verification agent returned nothing
Continuing MA Music Management (Hudebni management),"HAMU — Music and Dance Faculty, Academy of Performing Arts in Prague",Czechia,Public,Music-Business,Czech (official page: English description not available; program targets Czech speakers),Free (Czech-taught at public academy — Check),None found for Tunisians,None,UNVERIFIED,Y for admission (Czech required),"N (project presentation, not artistic portfolio) — entrance exam incl. English B1 test, music listening test, oral exam on management + music institutions, project presentation",Bachelor in music production/arts management or related; Czech proficiency; 2 years full-time,UNVERIFIED,PRIOR CYCLE - confirm new date,https://sp.amu.cz/en/program27057827105.html,"Solid music-industry management training (copyright, digital transformation, institutions) — free, but Czech-language instruction limits feasibility.",Unverified,verification agent returned nothing
Ing. Arts Management,Prague University of Economics and Business (VSE),Czechia,Public,Music-Business,Czech only (per department's English page and search results),Free in Czech (Check); no English master in Arts Management found,None found for Tunisians,None,UNVERIFIED,Y for admission (Czech required),N,Bachelor; entrance exam; Czech proficiency — Check details on kam.vse.cz/english/study/,UNVERIFIED,PRIOR CYCLE - confirm new date,https://kam.vse.cz/english/,Eduniversal-ranked arts-management program combining culture + economics + marketing; tuition-free but Czech-taught.,Unverified,verification agent returned nothing
"M.A. Sound Design (Zvukova skladba), Film and Television Faculty — 4 semesters, 120 ECTS, Dolby Atmos-certified studio",Academy of Performing Arts in Bratislava (VSMU),Slovakia,Public (arts academy),Sound-Design/Production,Slovak (English page exists but language of instruction not stated — Check English options with faculty),"Full-time study in Slovak at public HEIs is generally tuition-free (Check for third-country nationals); admission fee EUR 40; over-length study fee EUR 1,650/yr",Slovak Government Scholarship (ODA / vladnestipendia.sk) for full-degree study in Slovak; plus National Scholarship Programme (SAIA) can fund 4-10 month stays of enrolled degree students,Full via Slovak Government Scholarship if awarded (tuition + monthly stipend + insurance) — Tunisia reportedly on ODA list: Check official 2027/28 country list,"Tuition, monthly stipend, health insurance (per official program descriptions) — amounts UNVERIFIED","Check — Tunisia appears in ODA-country lists cited for 2026/27, but confirm on vladnestipendia.sk; note age limit ~18-26 for master applicants (Check) and study is in Slovak",Y — arts-faculty admission procedure with submitted works (Check exact requirements),"Bachelor in sound/audiovisual field; Slovak language for the program; admission exam; focus on film/TV/radio/music sound, mixing/mastering, Dolby Atmos",UNVERIFIED (scholarship portal opened 23 March 2026 for prior cycle),PRIOR CYCLE - confirm new date (Slovak Gov Scholarship 2026/27 deadline was 25 May 2026 per minedu.sk; VSMU program deadlines separate),https://www.vsmu.sk/en/ftf/faculty-organizational-stucture/department-of-sound-design/sound-design-m-a/,"Modern Dolby Atmos facility and production-oriented training; the only realistic fully-funded Slovak route is the government ODA scholarship, which requires studying in Slovak — high language cost for this candidate.",Unverified,verification agent returned nothing
"Governmental Scholarships of the Slovak Republic (full-degree funding vehicle, all levels, public universities, study in Slovak)",Ministry of Education of the Slovak Republic (vladnestipendia.sk),Slovakia,Public,General-Business/MBA,Slovak (study conducted in Slovak; preparatory language support — Check),Tuition covered for scholarship holders,Government Scholarships of the SR (development cooperation / ODA),Full (tuition + monthly stipend + insurance per official descriptions — amounts UNVERIFIED),UNVERIFIED amounts; covers full study cycle,Check — Tunisia cited in ODA eligible-country lists for 2026/27 (secondary sources); confirm on the official 'List of Scholarships of the Government of the SR' for 2027/28; age limit reported 18-26 for BA/MA (Check),N (scholarship itself); host-program admission rules apply,Citizenship of ODA-eligible country; admission to a Slovak public university; online application at vladnestipendia.sk,March 2027 expected (2026 portal opened 23 March 2026),"PRIOR CYCLE - confirm new date (2026/27 deadline: 25 May 2026, verified on minedu.sk)",https://www.minedu.sk/scholarships-of-the-government-of-the-slovak-republic/,Fully funded but Slovak-language study only — realistic for this candidate solely if willing to invest a preparatory year in Slovak; usable toward VSMU Sound Design or a Slovak public business faculty.,Unverified,verification agent returned nothing
MSc Electronics and Telecommunications (English) — closest English-taught technical entry to audio/multimedia at this university,Gdansk University of Technology,Poland,Public,Acoustics/Audio-Eng,English (verified),"PLN 10,000 per semester (non-EU), 3-4 semesters (verified)",NAWA Banach Programme (Tunisia eligible),"Full via Banach if awarded; otherwise self-pay ~PLN 10,000/semester","PLN 2,500/month + tuition exemption + travel (Banach)",Y,N,Engineering bachelor in a related field; English B2; apply May-July (winter/October intake) or Nov-Dec (summer intake),May 2027 (expected annual pattern — confirm),PRIOR CYCLE - confirm new date (annual May-July window for October starts),https://pg.edu.pl/en/admission/master-studies/study-programs-english,"Fallback if the Sound & Vision specialization is not available in English: same faculty as the Multimedia Systems Department, with thesis/electives possible in audio-DSP topics; verify specialization access before applying.",Unverified,verification agent returned nothing
"MA in Music (Classical Performance, Composition, Conducting; postgraduate Piano Soloist)",Liszt Ferenc Academy of Music (Liszt Academy),Hungary,Public,Sound/Music-Tech,English (main subject classes in English; some group lessons mixed Hungarian-English),"UNVERIFIED (third-party sources cite approx. EUR 2,100/semester; official fee list at uni.lisztacademy.hu/tuition-fees)",Stipendium Hungaricum (Liszt Academy confirmed host institution),"Full (via Stipendium Hungaricum, for BA/MA and Piano Soloist)","Full tuition waiver + monthly stipend HUF 43,700 + housing support (HUF 40,000/month or dormitory) + health insurance",Y (Tunisia is an official Stipendium Hungaricum sending partner; nomination via Tunisian Ministry of Higher Education required),"Y (video recordings with application + mandatory in-person entrance exam/audition in Budapest, late June/early July)","Bachelor's in music (preliminary credit recognition for MA), audition, TOEFL/IELTS/Cambridge certificate required for SH applicants",PRIOR CYCLE: SH portal opened 17 Nov 2025 for 2026/27 intake; expect ~Nov 2026 for Sept 2027,PRIOR CYCLE - confirm new date (SH deadline was 15 Jan 2026 for 2026/27; credit-recognition documents by 31 Mar),https://uni.lisztacademy.hu/application/full-time-and-non-degree-programmes-109988,"World-famous conservatory and fully fundable via SH, but strictly classical - a DJ/producer without formal classical training is unlikely to pass the audition; include only as prestige long-shot.",Unverified,verification agent returned nothing
Classical Musical Performance MA,"University of Debrecen, Faculty of Music",Hungary,Public,Sound/Music-Tech,English,UNVERIFIED (self-funded fee not confirmed on official page),Stipendium Hungaricum,Full (via Stipendium Hungaricum; Debrecen hosts 2000+ SH students),"Full tuition + HUF 43,700/month stipend + housing contribution + health insurance",Y (Tunisia is SH partner country),Y (entrance examination; instrumental/vocal audition),BA degree in suitable instrumental/vocal area + English proficiency + entrance exam; university states IELTS not required for its own admission,PRIOR CYCLE: SH opened Nov 2025 for 2026/27; expect Nov 2026 for Sept 2027,PRIOR CYCLE - confirm new date (SH deadline 15 Jan 2026 for 2026/27),https://edu.unideb.hu/p/classical-musical-performance-ma,Classical performance focus - weak fit for an electronic-music DJ/producer; only viable if the candidate has instrumental/vocal training. Fully funded route via SH.,Unverified,verification agent returned nothing
Classical Music Performance MA / Classical Singing MA (Faculty of Music and Visual Arts),University of Pécs,Hungary,Public,Sound/Music-Tech,English,"EUR 3,000/semester cited for Classical Singing MA (third-party - UNVERIFIED); confirm on art.pte.hu",Stipendium Hungaricum,Full (via Stipendium Hungaricum - Pécs is confirmed SH host: stipendiumhungaricum.hu/institutions/university-of-pecs/),"Full tuition + HUF 43,700/month stipend (12 months/yr) + housing contribution + health insurance",Y (Tunisia is SH partner country),Y (audition/entrance exam - Check exact format),BA in relevant music field + English proficiency + audition. NOTE: Pécs's 'Electronic Music and Media Art' program (best subject fit) is BACHELOR level only - verified on official page; no MA equivalent yet,UNVERIFIED (SH: expect Nov 2026 for Sept 2027),Official page shows 1 June 2026 for the 2026 intake (still-open/just-closed 2026 cycle) - PRIOR CYCLE - confirm new date for 2027,https://international.pte.hu/admission/study-programs/music-and-arts,"Only Hungarian faculty integrating music + visual arts, but the MA offer is classical; the genuinely relevant Electronic Music and Media Art program exists only as a 3-year BA (SH-fundable) - flag as an unconventional fallback.",Unverified,verification agent returned nothing
MSc in Management and Leadership (with CEMS Master in International Management option),Corvinus University of Budapest,Hungary,Public (foundation-run; AACSB & AMBA accredited),General-Business/MBA,English,"EUR 3,700/semester for non-EEA students (approx. EUR 14,800 for 4 semesters)",Stipendium Hungaricum; Corvinus full-tuition institutional scholarships (announced for Sept 2026 entrants),"Full (Stipendium Hungaricum - Corvinus is a confirmed SH host institution; plus Corvinus full-tuition scholarships for self-funded MSc entrants - tuition only, no living costs)","SH: full tuition + HUF 43,700/month stipend + housing support + insurance. Corvinus institutional scholarship: tuition only",Y for SH (Tunisia partner country); Corvinus institutional scholarship open to internationals - Check terms,N,"Bachelor's + credit recognition procedure (15 cr methodology, 10 economics, 15 business, 10 social science, 10 management - a software engineering BSc will need this checked) + English language requirement",UNVERIFIED (SH expected ~Nov 2026 for Sept 2027),Self-funded 2026/27 deadline: 13 Aug 2026 (still open for 2026 intake). SH route: PRIOR CYCLE - confirm new date (15 Jan pattern),https://www.uni-corvinus.hu/post/landing-page/masters/msc-in-management-and-leadership-with-cems/?lang=en,"Top business school in Hungary, fully fundable via SH; good for building the business/management side of a music career, though not music-specific. CEMS semester abroad adds international network.",Unverified,verification agent returned nothing
Art and Design Management MA,Budapest Metropolitan University (METU),Hungary,Private,Music-Business,English,"EUR 3,990/semester for non-EU (two semesters payable upfront)","METU Excellence Scholarship; Metropolitan Communication Foundation Scholarship (EUR 1,000/semester for GPA >= 3.0)","Partial (METU merit scholarships EUR 500-1,000/semester); Check whether METU participates in Stipendium Hungaricum",Tuition discounts only; no stipend,Y (open international admission),Y (portfolio of previous works + CV + motivation letter),"Bachelor's in any related field, GPA above 50%, upper-intermediate English 'equivalent to IELTS 6.0+/TOEFL 79+ - no certificate needed' (helpful since candidate has no IELTS yet)",UNVERIFIED,UNVERIFIED (rolling intakes via apply.metropolitan.hu; Fall intake listed),https://metropolitan.hu/en/programs/art-and-design-management-ma,"Creative-industries management (events, festivals, PR) in English with no formal English certificate required - decent track-2 fit, though focused on visual arts/fashion rather than music; largely self-pay.",Unverified,verification agent returned nothing
Master in International Business (English track),"University of Ljubljana, School of Economics and Business (UL SEB)",Slovenia,Public (triple-crown accredited school),General-Business/MBA,English,"EUR 4,700/academic year for non-EU full-time (official fees page ef.uni-lj.si) + EUR 61.60/yr study contribution",None found,None found (no scholarship for Tunisian nationals identified on official pages),UNVERIFIED,Y for admission (non-EU applicants pay tuition; Slovenia has no national scheme for Tunisians found),N,Bachelor's degree; English fluency (Check accepted proofs); possible bridging requirements for non-business degrees,Applications for 2027/28 open January 2027 (stated on official SEB master's pages),2026/27 applications closed; 2027/28 cycle opens Jan 2027 - confirm exact deadline,https://www.ef.uni-lj.si/en/study/masters-programmes/international-business,Affordable EU-accredited business master (~EUR 4.7k/yr) in an English track; self-pay but low-cost fallback for the business track.,Unverified,verification agent returned nothing
"Master's programmes in Music (performance, composition - Academy of Music)","University of Ljubljana, Academy of Music",Slovenia,Public,Sound/Music-Tech,Slovenian (instruction primarily Slovenian; English course availability - Check),"Within UL official non-EU range EUR 2,000-15,000/yr depending on programme (arts programmes at upper end - Check exact figure at ag.uni-lj.si)",None found (Slovenian state scholarships target EU/Western Balkans/bilateral partners - Tunisia not identified),None found for Tunisian nationals,UNVERIFIED,Y for admission (non-EU pay tuition),Y (audition/artistic entrance exam standard for music academies - Check),Relevant first-cycle music degree + audition; Slovenian language proficiency likely required - Check,UNVERIFIED,UNVERIFIED - Check ag.uni-lj.si admission calendar,https://www.uni-lj.si/en/study/tuition-fees-and-other-study-contributions,"Included for completeness of the Ljubljana sweep: classical conservatory, Slovenian-taught, no music-technology master found - poor fit for this candidate.",Unverified,verification agent returned nothing
"Media Arts and Practices MA (modules: Animation, Film, Photography, New Media, Contemporary Art Practices, Scenographic Spaces, Art-Science-Technology)","University of Nova Gorica, School of Arts",Slovenia,Private (non-profit university),Sound-Design/Production,English available (min. B2 CEFR) alongside Slovenian,"EUR 3,500/year (third-party figure - UNVERIFIED on official page; official page points to separate fee list)",None found,None found,UNVERIFIED,Y for admission (Check visa/fee status),"Y (portfolio + biography + project proposal, creative assignment, interview; artistic ability assessment)",First-cycle degree (180 ECTS - candidate's engineering BSc qualifies formally) + B2 English + pass artistic assessment; only 10 places,UNVERIFIED,"2026 intake: Round 1 portfolio 26 May 2026 (passed); Round 2 portfolio due 1 Sep 2026, interviews 9-13 Sep - STILL OPEN for 2026; confirm 2027 cycle dates",https://ung.si/en/admissions/second-level-admissions/media-arts-and-practices/,"Closest Slovenian match for a creative producer: project-based media-arts MA in English; no dedicated sound module, but New Media / Art-Science-Technology tracks can host audio work. Small cohort, self-pay (~EUR 3.5k/yr).",Unverified,verification agent returned nothing
MBA in Management (English-taught MBA/specialist master programmes),Zagreb School of Economics and Management (ZSEM),Croatia,Private (AACSB accredited),General-Business/MBA,"English (most programmes - official site could not be fetched, treat as Check)","UNVERIFIED (third-party sources cite ~EUR 12,100 for the 12-month MBA)",None found,None found (no institutional scholarship for Tunisians verified),UNVERIFIED,Check (open international admission expected; official site blocked automated access),N,UNVERIFIED (bachelor's degree + English; Check GMAT/experience requirements),UNVERIFIED,UNVERIFIED - Check zsem.hr,https://www.zsem.hr/en/,"Croatia's best-known private business school, ranked in QS Europe MBA lists; English-taught but expensive and self-pay - fallback only. Official site returned 403 to our fetcher, so all figures need confirmation.",Unverified,verification agent returned nothing
"Graduate (MA) programmes in audiovisual arts - film & TV production incl. sound roles (4 semesters, 120 ECTS)","Academy of Dramatic Art (ADU), University of Zagreb",Croatia,Public,Sound-Design/Production,Croatian (University of Zagreb lists ADU and the Academy of Music under 'studies and courses in Croatian'),UNVERIFIED - Check ADU enrollment call,None found (Croatian bilateral/AMPEU scholarships - Tunisia eligibility Check),None found for Tunisian nationals,UNVERIFIED,Check (admission open to foreigners but Croatian-language study),Y (artistic entrance qualification exams standard at ADU - Check per programme),Relevant undergraduate degree + Croatian language + artistic entrance exam,UNVERIFIED,UNVERIFIED,https://www.adu.hr/eng/programs,Sweep finding: Croatia has NO English-taught sound/music-technology master we could verify (Zagreb Academy of Music and ADU are Croatian-taught; Algebra University's English masters cover games/multimedia but not audio). Croatian-language barrier makes this impractical for the candidate.,Unverified,verification agent returned nothing
"MA in Dramatic and Audiovisual Arts - Sound Recording and Design (1 year, 60 ECTS, up to 20 students)","Faculty of Dramatic Arts (FDU), University of Arts in Belgrade",Serbia,Public,Sound-Design/Production,Serbian (Check - official English page does not state an English track; instruction is in Serbian),UNVERIFIED - Check FDU annual enrollment call (konkurs) for foreign-student fee,None found,None found (Serbia's 'World in Serbia' scheme dormant; no current national scholarship for Tunisians verified),UNVERIFIED,Check (foreign applicants admitted subject to diploma recognition; language requirement is the barrier),"Y (Check - entrance exam standard; department covers film/TV sound, radio, stage sound, classical & POPULAR music recording, multimedia sound design)",Completed undergraduate studies of at least 240 ECTS (candidate's 4-5 yr engineering degree may satisfy volume - field acceptance Check) + entrance exam,UNVERIFIED (Serbian MA enrollment calls typically Sep-Oct - confirm),UNVERIFIED - Check FDU konkurs,https://fdu.bg.ac.rs/en/studies/m-a-studies/sound-recording-and-design,The strongest dedicated sound-engineering/production master in the entire slice - explicit courses in popular-music recording and sound design; Arabic/French speaker would still face Serbian-language instruction; very low regional tuition but no scholarship route for Tunisians.,Unverified,verification agent returned nothing
"MA Music and Media (1 year, 60 ECTS)","Academy of Arts, University of Novi Sad",Serbia,Public,Sound/Music-Tech,Serbian,"125,000 RSD (~EUR 1,500) per the national StudyInSerbia database - confirm foreign-student rate at en.akademija.uns.ac.rs",None found,None found,UNVERIFIED,Check (foreign candidates have a defined application procedure at the Academy; Serbian-language study),"Check (Academy also runs a Laboratory for Recording, Editing and Sound Design)",UNVERIFIED (relevant bachelor's + entrance requirements per konkurs),Programme starts in October; enrollment call timing UNVERIFIED,UNVERIFIED - Check Academy enrollment call,https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-academy-of-arts-master-music-and-media,"Audio-visual/media-production oriented music master at rock-bottom tuition (~EUR 1.5k), accredited 2023; Serbian-language instruction is the main obstacle.",Unverified,verification agent returned nothing
"MA in Cultural Policy and Management - Interculturalism and Mediation in the Balkans (UNESCO Chair, 2 semesters, 60 ECTS)",University of Arts in Belgrade (with international partners incl. Université Lumière Lyon 2),Serbia,Public,Music-Business,English (fully English-taught; historically also a French track - Check current status; candidate's French is an asset),"EUR 2,100-2,300 per academic year (official page; same rate applies internationally)","Dragan Klaic Fellowship (Open Society Foundations / European Cultural Foundation) - 1 award/yr covering tuition + living, but restricted to Balkan-region candidates (Tunisian NOT eligible)",Partial/None for this candidate (the one full fellowship is Balkan-region-restricted),Fellowship covers tuition and living expenses - Balkan candidates only; no funding identified for Tunisians,Y for admission (programme 'welcomes students from Europe and worldwide'); N for the Dragan Klaic Fellowship,N (online questionnaire instead of interview; motivation-based selection),"University degree in social sciences, humanities or ARTS (240 ECTS) + fluent English - candidate's software-engineering degree may need eligibility Check; obligatory field internship",Open now for 2026 intake,"2026 intake rounds: 22 June, 24 August, and 1 October 2026 (STILL OPEN for 2026 entry) - confirm 2027 dates later",http://www.arts.bg.ac.rs/en/studies/degrees-in-english/cultural-policy-and-management-interculturalism-and-mediation-in-the-balkans/,"Best-verified track-2 option in the slice: cheap (EUR ~2.2k/yr total), English-taught, UNESCO-branded arts/cultural management with strong European network - directly useful for festival/music-industry management; a 2026 intake round is still open (1 Oct 2026).",Unverified,verification agent returned nothing
MSc Sound and Music Technologies,Hellenic Mediterranean University (Dept. of Music Technology & Acoustics),"Greece (Rethymno, Crete)",Public,Sound/Music-Tech,Greek (per ministry registry),"FREE — no tuition (confirmed on official Greek Ministry registry, studies.minedu.gov.gr/program/?programme_id=1619)",None found — tuition-free public program,None found (but program is tuition-free; students hold 'scholar' status and support dept teaching),No stipend; zero tuition only,Y — foreign degrees accepted (DOATAP recognition required); Check Greek-language requirement,Check — admission by application evaluation + interview,"Relevant bachelor's (music tech, engineering, CS, physics, music); 3 semesters / 90 ECTS; in-person in Rethymno; max ~15 students; Greek language ability needed in practice",UNVERIFIED,UNVERIFIED — no open call listed as of Jul 2026; contact grmta@hmu.gr for 2027 cycle,https://mta.hmu.gr/en/postgraduate/msc-in-sound-and-music-technologies/,"Curriculum (digital audio processing, sound synthesis, acoustics, AI, motion tracking) is an ideal DSP/audio-tech match for a software engineer, and it is tuition-free — but instruction is in Greek, which is the main barrier.",Unverified,verification agent returned nothing
MSc Music Technology and Contemporary Practices (tracks: Applied Music Technology; Jazz Improvisation & New Technologies; Music Creation for New Media),"National and Kapodistrian University of Athens (NKUA), Dept. of Music Studies",Greece (Athens),Public,Sound/Music-Tech,Check — official English site exists but teaching language not stated (likely Greek),EUR 700 per semester (official program site),None found,UNVERIFIED,UNVERIFIED,Y — 'graduates from other countries holding eligible credentials are accepted',Check,Bachelor's from any Greek university or recognized foreign university (DOATAP); 30 students/year,UNVERIFIED,UNVERIFIED — confirm 2027 call on program site,https://mastermusictech-en.music.uoa.gr/,Very low cost; 'Music Creation for New Media' and 'Applied Music Technology' tracks fit a producer/DJ with CS background; run by NKUA's Music Acoustics & Technology Lab (Prof. Georgaki). Verify Greek-language demands.,Unverified,verification agent returned nothing
Joint MA 'Sonic Arts and Audio Technologies' (specializations: Electroacoustic Artistic Creation / Applied Audio Production),"Ionian University, School of Music & Audiovisual Arts (Music Studies + Audio & Visual Arts depts.)",Greece (Corfu),Public,Sound/Music-Tech,"Greek, with some teaching in English; thesis may be in English","EUR 2,700 total (payable in installments; prior-cycle official call)",Tuition-waiver scheme for up to 30% of intake (official call document),Partial — up to 30% of admitted students receive FULL tuition waivers (in exchange for lab support work),"Tuition waiver only, no stipend",Y — recognized foreign degrees accepted; Check Greek-language level,Y — artistic portfolio and work experience among supporting documents,Degree related to sonic arts / audio technology / audio applications; other graduates admissible with demonstrated audio research or artistic activity; ~15 places,PRIOR CYCLE - ~1 July (2022 pattern); confirm,PRIOR CYCLE - confirm new date (last verified call closed 18 Sep 2022; calls typically run Jul–Sep),https://music.ionio.gr/sonarts/,"'Applied Audio Production' specialization explicitly targets music industry, advertising, film/TV and sound synthesis for virtual environments — the closest Greek program to music-production career goals; CS degree satisfies the tech entry route.",Unverified,verification agent returned nothing
MA Audiovisual Arts in the Digital Age,"Ionian University, Dept. of Audio & Visual Arts",Greece (Corfu),Public,Sound-Design/Production,Check (likely Greek; official page silent),"EUR 2,400 total (official page)",None found,None found,UNVERIFIED,Y — foreign recognized degrees admissible; Check language,Check,"Degree from Greek or recognized foreign HEI, preferably related to art forms; max 25 students; 3 semesters",Spring (annually) — confirm 2027 call,PRIOR CYCLE - confirm new date (call issued each spring for the following academic year),https://avarts.ionio.gr/en/studies/postgraduate/ada/,Digital/new-media arts including sound production; broader than pure audio — useful if candidate wants AV/interactive art angle alongside music.,Unverified,verification agent returned nothing
Master of Arts by Research (MARes) in Hybrid Arts,"Ionian University, Dept. of Audio & Visual Arts",Greece (Corfu),Public,Sound/Music-Tech,Check,UNVERIFIED,None found,UNVERIFIED,UNVERIFIED,Check,Check — research-based admission,Independent research orientation beyond taught content; prepares for professional practice or PhD,UNVERIFIED,PRIOR CYCLE - confirm new date (2024–25 call closed 1 Dec 2024),https://avarts.ionio.gr/en/news/31551/,Research-track option for sound/hybrid-arts projects; lower priority than the taught Sonic Arts MA but same department and studios.,Unverified,verification agent returned nothing
"International MBA (i-MBA, full-time or part-time)",Athens University of Economics and Business (AUEB),Greece (Athens),Public,General-Business/MBA,English,"EUR 9,700 full-time / EUR 9,900 part-time (official tuition page)","i-MBA scholarships — up to ~20 per year covering net enrollment fees (EUR 4,500–18,300 range, EU and non-EU eligible); GMAT-merit scholarships",Partial to Full-tuition,Tuition coverage only; no living stipend,Y — non-EU applicants explicitly admitted and scholarship-eligible,N,Bachelor's degree; English proficiency test; GMAT considered (Check whether mandatory); work experience preferred for MBA,UNVERIFIED (typically autumn for following year),29 Jun 2026 (extended) for Sept 2026 intake — now closed; 2027 cycle expected ~spring 2027 (PRIOR CYCLE pattern - confirm),https://imba.aueb.gr/,AMBA-accredited English MBA at public-university pricing with real scholarships — the strongest verified general-business option in the slice; fresh graduate status may weaken MBA admission (work experience usually expected).,Unverified,verification agent returned nothing
"Music (MMus), 1.5 years / 3 semesters — concentrations reported to include Music Technology (Check on official page)",University of Nicosia (UNIC),Cyprus (Nicosia),Private,Sound/Music-Tech,English,"UNVERIFIED for MMus — not listed in UNIC's official 2024-25 international fee sheet; comparable UNIC 90-ECTS masters cost EUR 13,860 total for non-EU (EUR 154/ECTS)",None found for postgraduates (financial-hardship aid examined individually),None — UNIC's official fee document states merit scholarships are NOT applicable to master's programmes; only case-by-case financial hardship aid,N/A,"Y — large non-EU intake, standard student-visa route","Y — audition on primary instrument (20+ min, contrasting styles) plus interview; composition applicants submit portfolio (Check per concentration)","Accredited bachelor's; 2 recommendation letters, personal statement, CV; English placement test if no IELTS/TOEFL (UNIC runs its own placement — useful since candidate has no IELTS yet); non-EU must study full-time and prepay each semester",Rolling,Rolling — Fall 2026 classes start ~30 Sep 2026; non-EU visa dossier deadlines are earlier (Check with admissions),https://www.unic.ac.cy/music-mmus-1-5-years-or-3-semesters/,"English-taught MMus in an easy-visa country; audition requirement is classical-performance oriented, which may not suit a DJ/producer profile — confirm whether the music-technology concentration waives the instrumental audition.",Unverified,verification agent returned nothing
"Master in Music (online, 18 months; specializations Music Pedagogy / Music Composition, with music-technology coursework)",European University Cyprus (EUC),Cyprus (Nicosia) — online delivery,Private,Sound/Music-Tech,English or Greek,UNVERIFIED (fees only in downloadable PDF at euc.ac.cy/en/admissions/tuition-fees/),None found,UNVERIFIED,N/A,"Y — online, no visa needed",Y for Composition (portfolio of works); audition/interview if department deems necessary,Music degree required for Composition; other bachelor's accepted for Pedagogy concentration,Rolling,Check — online intakes typically multiple per year; EUR 52 application fee,https://euc.ac.cy/en/programs/master-music-online/,"Fallback/parallel option: English-taught, studiable from Tunisia while gigging; composition + music-tech content relevant but pedagogy-heavy — weaker direct fit for a producer career.",Unverified,verification agent returned nothing
